Workload Shapes,NPU Shapes,Kernel Shapes,Data Type Input,Data Type Output,NPU Size (KB),Kernel Size (KB),NPU Intensity (Op/B),Kernel Intensity (Op/B),Theoretical Kernel Execution Time (us),Data Tiles,Theoretical NPU Execution Time (ms)
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 64), (256, 64), (64, 256)]","[(64, 16), (64, 16), (64, 64)]",i8,i32,86.02,18.43,6.10,1.78,0.68,4096,3.73
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 64), (128, 64), (32, 128)]","[(32, 16), (32, 16), (32, 32)]",bfloat16,f32,36.86,6.14,7.11,2.67,0.17,8192,3.27
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 256), (1024, 64), (8, 256)]","[(8, 64), (256, 16), (8, 64)]",i8,i32,75.78,6.66,3.46,2.46,0.09,1024,0.86
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (1024, 64), (8, 128)]","[(8, 128), (256, 16), (8, 32)]",bfloat16,f32,143.36,11.26,3.66,2.91,0.13,512,0.86
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 64), (256, 64), (64, 64)]","[(64, 16), (64, 16), (64, 16)]",i8,i8,24.58,3.07,21.33,10.67,0.06,4096,1.20
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 64), (128, 64), (32, 64)]","[(32, 16), (32, 16), (32, 16)]",bfloat16,bfloat16,24.58,3.07,10.67,5.33,0.06,8192,2.40
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 256), (1024, 64), (8, 64)]","[(8, 64), (256, 16), (8, 16)]",i8,i8,68.10,4.74,3.85,3.46,0.03,1024,0.81
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (1024, 64), (8, 64)]","[(8, 128), (256, 16), (8, 16)]",bfloat16,bfloat16,140.29,10.50,3.74,3.12,0.13,512,0.86
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 128), (512, 64), (32, 256)]","[(32, 32), (128, 16), (32, 64)]",i8,i32,69.63,11.26,7.53,2.91,0.34,4096,3.08
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 128), (256, 128), (32, 256)]","[(32, 32), (64, 32), (32, 64)]",bfloat16,f32,106.50,14.34,9.85,4.57,0.34,2048,2.38
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (2048, 16), (8, 64)]","[(8, 128), (512, 4), (8, 16)]",i8,i32,38.91,3.58,3.37,2.29,0.02,2048,0.89
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (1024, 32), (8, 64)]","[(8, 128), (256, 8), (8, 16)]",bfloat16,f32,75.78,6.66,3.46,2.46,0.06,1024,0.91
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 128), (512, 64), (32, 64)]","[(32, 32), (128, 16), (32, 16)]",i8,i8,38.91,3.58,13.47,9.14,0.06,4096,1.95
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 128), (256, 128), (32, 128)]","[(32, 32), (64, 32), (32, 32)]",bfloat16,bfloat16,81.92,8.19,12.80,8.00,0.26,2048,2.21
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (2048, 16), (8, 16)]","[(8, 128), (512, 4), (8, 4)]",i8,i8,36.99,3.10,3.54,2.64,0.02,2048,0.88
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (1024, 32), (8, 32)]","[(8, 128), (256, 8), (8, 8)]",bfloat16,bfloat16,74.24,6.27,3.53,2.61,0.06,1024,0.91
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 128), (512, 64), (32, 64)]","[(32, 32), (128, 16), (32, 16)]",u8,u8,38.91,3.58,13.47,9.14,0.06,4096,1.95
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 512), (2048, 16), (8, 16)]","[(8, 128), (512, 4), (8, 4)]",u8,u8,36.99,3.10,3.54,2.64,0.02,2048,0.88
