Workload Shapes,NPU Shapes,Kernel Shapes,Data Type Input,Data Type Output,NPU Size (KB),Kernel Size (KB),NPU Intensity (Op/B),Kernel Intensity (Op/B),Theoretical Kernel Execution Time (us),Data Tiles,Theoretical NPU Execution Time (ms)
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 16), (64, 64), (64, 256)]","[(64, 16), (64, 16), (64, 64)]",i8,i32,70.66,18.43,1.86,1.78,0.68,16384,12.12
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 16), (32, 64), (32, 128)]","[(32, 16), (32, 16), (32, 32)]",bfloat16,f32,21.50,6.14,3.05,2.67,0.17,32768,7.46
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 64), (256, 64), (8, 256)]","[(8, 64), (256, 16), (8, 64)]",i8,i32,25.09,6.66,2.61,2.46,0.09,4096,1.12
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 64), (8, 128)]","[(8, 128), (256, 16), (8, 32)]",bfloat16,f32,38.91,11.26,3.37,2.91,0.13,2048,1.06
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(64, 16), (64, 64), (64, 64)]","[(64, 16), (64, 16), (64, 16)]",i8,i8,9.22,3.07,14.22,10.67,0.06,16384,1.98
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 16), (32, 64), (32, 64)]","[(32, 16), (32, 16), (32, 16)]",bfloat16,bfloat16,9.22,3.07,7.11,5.33,0.06,32768,3.97
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 64), (256, 64), (8, 64)]","[(8, 64), (256, 16), (8, 16)]",i8,i8,17.41,4.74,3.76,3.46,0.03,4096,0.90
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 64), (8, 64)]","[(8, 128), (256, 16), (8, 16)]",bfloat16,bfloat16,35.84,10.50,3.66,3.12,0.13,2048,1.06
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 64), (32, 256)]","[(32, 32), (128, 16), (32, 64)]",i8,i32,41.98,11.26,3.12,2.91,0.34,16384,7.28
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (64, 128), (32, 256)]","[(32, 32), (64, 32), (32, 64)]",bfloat16,f32,51.20,14.34,5.12,4.57,0.34,8192,4.48
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 16), (8, 64)]","[(8, 128), (512, 4), (8, 16)]",i8,i32,11.26,3.58,2.91,2.29,0.02,8192,1.02
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 32), (8, 64)]","[(8, 128), (256, 8), (8, 16)]",bfloat16,f32,20.48,6.66,3.20,2.46,0.06,4096,1.10
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 64), (32, 64)]","[(32, 32), (128, 16), (32, 16)]",i8,i8,11.26,3.58,11.64,9.14,0.06,16384,2.73
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (64, 128), (32, 128)]","[(32, 32), (64, 32), (32, 32)]",bfloat16,bfloat16,26.62,8.19,9.85,8.00,0.26,8192,3.78
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 16), (8, 16)]","[(8, 128), (512, 4), (8, 4)]",i8,i8,9.34,3.10,3.51,2.64,0.02,8192,0.97
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (256, 32), (8, 32)]","[(8, 128), (256, 8), (8, 8)]",bfloat16,bfloat16,18.94,6.27,3.46,2.61,0.06,4096,1.10
"[(1024, 1024), (1024, 1024), (1024, 1024)]","[(32, 32), (128, 64), (32, 64)]","[(32, 32), (128, 16), (32, 16)]",u8,u8,11.26,3.58,11.64,9.14,0.06,16384,2.73
"[(8, 4096), (4096, 4096), (8, 4096)]","[(8, 128), (512, 16), (8, 16)]","[(8, 128), (512, 4), (8, 4)]",u8,u8,9.34,3.10,3.51,2.64,0.02,8192,0.97
